Entity,RecordId,Error Description, OptionSetValues
Account,0f4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,114a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,134a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,154a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,174a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,194a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1b4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1d4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1f4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,214a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,234a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,254a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,274a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,294a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2b4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2d4a766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
